Driven Brands - MSO,,,,,,,,,,,,,,
Part Status - Concise,,,,,,,,,,,,,,
As of: Today (4/30/2024),,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: All",,,,,,,,,,,,,,
"Sorted By: Repair Order Information (ASC), Line (ASC)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
      RO Number,      Line,      Part Number,      Part Description,      Part Type,      Vendor Name,      RO Qty,      Ordered Qty,      Ordered Date,      Expected Delivery,      Received Qty,      Invoice Date,      Returned Qty,,
1000,59,5345006081,LT Support cylinder,OEM,,1,0,,,0,,0,,
1000,61,5381106200,RT Fender,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,67,90189A0002,RT Fender liner grommet type 1,OEM,Simi Valley Toyota - 15678,2,0,,,2,4/20/2023 12:00:00 AM,0,,
1000,68,90189A0002,LT Fender liner grommet type 1,OEM,Simi Valley Toyota - 15678,2,0,,,2,4/20/2023 12:00:00 AM,0,,
1000,69,90189A0011,RT Fender liner grommet type 2,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,70,90189A0011,LT Fender liner grommet type 2,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,71,TO1244107,LT Front bracket,Aftermarket,Keystone - Complete - Santa Fe Springs - 3,1,1,4/19/2023 10:20:42 AM,4/25/2023 12:00:00 AM,1,4/25/2023 12:00:00 AM,0,,
1000,74,9046707166,LT Fender liner clip,OEM,Simi Valley Toyota - 15678,4,0,,,4,4/20/2023 12:00:00 AM,0,,
1000,75,9046707166,RT Fender liner clip,OEM,Simi Valley Toyota - 15678,4,0,,,4,4/20/2023 12:00:00 AM,0,,
1000,76,5381206210,LT Fender,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,83,4260206070,LT/Front Wheel cover type 1,OEM,,1,0,,,0,,0,,
1000,84,4260206070,RT/Front Wheel cover type 1,OEM,,1,0,,,0,,0,,
1004,0,08200-9008,ATF FLUID - VAN - SPURRIER,OEM,1ST HONDA - 15678,0,0,,,1,10/20/2023 12:00:00 AM,0,,
1004,0,08200hcf2,fluid,OEM,1ST HONDA - 15678,0,0,,,4,6/16/2023 12:00:00 AM,0,,
1004,0,15810-rna-a01,valve assy,OEM,1ST HONDA - 15678,0,0,,,1,9/19/2023 12:00:00 AM,0,,
1004,0,18307TYRA51,MUFFLER - IOU - CITY,OEM,1ST HONDA - 15678,0,0,,,1,7/12/2023 12:00:00 AM,0,,
1004,0,30530PRC003,SENSOR ASSY,OEM,1ST HONDA - 15678,0,0,,,1,1/11/2024 12:00:00 AM,0,,
1004,0,311005a2a02,alterna,OEM,1ST HONDA - 15678,0,0,,,1,4/12/2024 12:00:00 AM,0,,
1004,0,31500sl5100m,battery,OEM,1ST HONDA - 15678,0,0,,,1,4/9/2024 12:00:00 AM,0,,
1004,0,42700tvaa93,return,OEM,1ST HONDA - 15678,0,0,,,1,6/1/2023 12:00:00 AM,1,,
1004,0,43022TVAA51,PAD SET,OEM,1ST HONDA - 15678,0,0,,,1,3/20/2024 12:00:00 AM,0,,
1004,0,45022-S9V-A02,"SET, PAD FRONT",OEM,1ST HONDA - 15678,0,0,,,1,3/11/2024 12:00:00 AM,0,,
1004,0,45022thra02,pad,OEM,1ST HONDA - 15678,0,0,,,1,3/14/2024 12:00:00 AM,0,,
1004,0,45251tk8a02,disk,OEM,1ST HONDA - 15678,0,0,,,2,3/14/2024 12:00:00 AM,0,,
1004,0,51350-TOA-A02,KOUROUNIS - LOWER ARM,OEM,1ST HONDA - 15678,0,0,,,1,10/4/2023 12:00:00 AM,0,,
1004,0,51350thra10,arm,OEM,1ST HONDA - 15678,0,0,,,1,3/14/2024 12:00:00 AM,0,,
1004,0,51360-TOA-A02,KOUROUNIS - LOWER ARM,OEM,1ST HONDA - 15678,0,0,,,1,9/27/2023 12:00:00 AM,0,,
1004,0,51360thra10,arm,OEM,1ST HONDA - 15678,0,0,,,1,3/14/2024 12:00:00 AM,0,,
1004,0,74592t0aa01,for return,OEM,1ST HONDA - 15678,0,0,,,1,5/11/2023 12:00:00 AM,1,,
1004,0,CITY,CITY FILE,OEM,1ST HONDA - 15678,0,0,,,2,5/9/2023 12:00:00 AM,0,,
1004,0,core,core,OEM,1ST HONDA - 15678,0,0,,,1,4/9/2024 12:00:00 AM,1,,
1004,0,core return,return,OEM,1ST HONDA - 15678,0,0,,,1,6/1/2023 12:00:00 AM,1,,
1004,0,KECR2032-1,REMOTE BAT,OEM,1ST HONDA - 15678,0,0,,,1,3/11/2024 12:00:00 AM,0,,
1004,0,MECH,MECH JOB,OEM,1ST HONDA - 15678,0,0,,,1,10/19/2023 12:00:00 AM,0,,
1004,0,PARTS,BRIAN BODYMAN,OEM,1ST HONDA - 15678,0,0,,,1,5/9/2023 12:00:00 AM,0,,
1004,0,TRAM,TRAM INVOICE,OEM,1ST HONDA - 15678,0,0,,,1,5/5/2023 12:00:00 AM,0,,
1004,0,VAN,VAN,OEM,1ST HONDA - 15678,0,0,,,1,5/2/2023 12:00:00 AM,0,,
1004,0,,CORE,OEM,1ST KIA - 15678,0,0,,,1,11/7/2023 12:00:00 AM,1,,
1004,0,25500-2GGA0,THERMOSTAT,OEM,1ST KIA - 15678,0,0,,,1,2/16/2024 12:00:00 AM,0,,
1004,0,37110-H600U,BATTERY,OEM,1ST KIA - 15678,0,0,,,1,11/7/2023 12:00:00 AM,0,,
1004,0,81230-D4000,TIM AIRTIGHT LATCH,OEM,1ST KIA - 15678,0,0,,,1,9/11/2023 12:00:00 AM,0,,
1004,0,863111u700,emblem return,OEM,1ST KIA - 15678,0,0,,,1,11/17/2023 12:00:00 AM,1,,
1004,0,86511-B2000,FR B COVER,OEM,1ST KIA - 15678,0,0,,,1,4/10/2024 12:00:00 AM,1,,
1004,0,866101u510,bumper return,OEM,1ST KIA - 15678,0,0,,,1,11/17/2023 12:00:00 AM,1,,
1004,0,87742D9000,GARNISH,OEM,1ST KIA - 15678,0,0,,,1,1/16/2024 12:00:00 AM,0,,
1004,0,MURPHY,MAP SENSOR,OEM,1ST KIA - 15678,0,0,,,1,5/9/2023 12:00:00 AM,0,,
1004,0,um020ch2263,coolant,OEM,1ST KIA - 15678,0,0,,,2,10/6/2023 12:00:00 AM,0,,
1004,0,um022ch271,coolant,OEM,1ST KIA - 15678,0,0,,,2,10/6/2023 12:00:00 AM,0,,
1004,0,015150009u,rivet return,OEM,1ST NISSAN - 15678,0,0,,,3,10/6/2023 12:00:00 AM,3,,
1004,0,11026ja00a,washer,OEM,1ST NISSAN - 15678,0,0,,,1,7/10/2023 12:00:00 AM,0,,
1004,0,140360m200,gasket,OEM,1ST NISSAN - 15678,0,0,,,2,9/15/2023 12:00:00 AM,0,,
1004,0,1520865f9e,oil filter,OEM,1ST NISSAN - 15678,0,0,,,1,7/10/2023 12:00:00 AM,0,,
1004,0,2069119b0a,gasket,OEM,1ST NISSAN - 15678,0,0,,,2,9/15/2023 12:00:00 AM,0,,
1004,0,206928b410,gasket return,OEM,1ST NISSAN - 15678,0,0,,,1,6/28/2023 12:00:00 AM,1,,
1004,0,208135m020,gasket,OEM,1ST NISSAN - 15678,0,0,,,1,9/15/2023 12:00:00 AM,0,,
1004,0,23731-6J90D,CAMSHAFT,OEM,1ST NISSAN - 15678,0,0,,,1,3/26/2024 12:00:00 AM,0,,
1004,0,27277-3JC1C,AIR FILTER,OEM,1ST NISSAN - 15678,0,0,,,1,11/29/2023 12:00:00 AM,0,,
1004,0,307709B410,CLUTCH CABLE,OEM,1ST NISSAN - 15678,0,0,,,1,5/9/2023 12:00:00 AM,0,,
1004,0,432064BT0B,ROTORS,OEM,1ST NISSAN - 15678,0,0,,,2,1/2/2024 12:00:00 AM,2,,
1004,0,62022-6CA0H,BUMPER - KEYSTONE WARRANTY,OEM,1ST NISSAN - 15678,0,0,,,1,7/12/2023 12:00:00 AM,0,,
1004,0,622566ca0a,finisher mold,OEM,1ST NISSAN - 15678,0,0,,,1,7/6/2023 12:00:00 AM,0,,
1004,0,76848az100,screw,OEM,1ST NISSAN - 15678,0,0,,,5,6/5/2023 12:00:00 AM,5,,
1004,0,84890-6LB0A,VASQUEZ - SENTRA SHOP PAY,OEM,1ST NISSAN - 15678,0,0,,,1,9/12/2023 12:00:00 AM,0,,
1004,0,D40604CU2A,BRAKE KIT,OEM,1ST NISSAN - 15678,0,0,,,1,1/3/2024 12:00:00 AM,1,,
1004,0,D4M60-9N00B,PAD KIT,OEM,1ST NISSAN - 15678,0,0,,,1,11/29/2023 12:00:00 AM,0,,
1004,0,19421240,n-fluid,OEM,ALEXANDER GMC - 15678,0,0,,,8,6/29/2023 12:00:00 AM,0,,
1004,0,39250-2B000,Sensor return,OEM,Alexander Hyundai of Oxnard - 15678,0,0,,,1,12/6/2023 12:00:00 AM,1,,
1004,0,85201D3640,SUNVISOR,OEM,Alexander Hyundai of Oxnard - 15678,0,0,,,1,1/8/2024 12:00:00 AM,1,,
1004,0,865512s000,bracket,OEM,Alexander Hyundai of Oxnard - 15678,0,0,,,1,10/31/2023 12:00:00 AM,1,,
1004,0,865522s000,bracket,OEM,Alexander Hyundai of Oxnard - 15678,0,0,,,1,10/31/2023 12:00:00 AM,1,,
1004,0,11602522,clips,OEM,ANTELOPE VALLEY CHEVROLET - 15678,0,0,,,4,6/29/2023 12:00:00 AM,0,,
