Driven Brands - MSO,,,,,,,,,,,,,,,
Abra - Parts ordered not recieved by vendor,,,,,,,,,,,,,,,
As of: Today (4/3/2024),,,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: Open",,,,,,,,,,,,,,,
Sorted By: PO Number (ASC),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
      RO Number,      Vehicle,      Vehicle In,      Line,      Part Number,      Part Type,      Part Description,      RO Qty,      Ordered Qty,      Backorder Qty,      Expected Delivery,      PO Number,      Vendor Name,      Required By,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,54,KB7W56620A,OEM,Lock,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,55,KB7W56770A,OEM,Front w'strip,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,56,KB7W56750B,OEM,Front seal,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,57,BC1D58762,OEM,Rear w'strip fastener,10,10,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,58,KB7W56681B,OEM,Insulator,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,59,TD1156694,OEM,Insulator fastener,11,11,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,71,B45A56146A,OEM,RT Fender liner fastener,6,6,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,72,B45A56146A,OEM,LT Fender liner fastener,6,6,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2040,2019 MAZD CX-5 Touring FWD,10/16/2023 10:00:00 AM,77,KB7W563K5,OEM,LT End plate,1,1,0,10/17/2023 12:00:00 AM,2040-PO-004,GALPIN MOTOR - 15678,10/17/2023 12:00:00 AM,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,10,3C3Z7A095AA,OEM,Trans cooler,1,1,0,4/1/2024 12:00:00 AM,2908-PO-003,GALPIN MOTOR - 15678,4/1/2024 12:00:00 AM,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,11,ORDER FROM DEALE,OEM,Transmission Fluid,2,2,0,4/1/2024 12:00:00 AM,2908-PO-003,GALPIN MOTOR - 15678,4/1/2024 12:00:00 AM,,
2908,"2002 FORD Super Duty F-350 w/Single Rear Wheels XL Supercab & Chassis 162"" WB 60""",4/1/2024 9:00:00 AM,4,2C3Z17A385AA,OEM,License bracket,1,1,0,4/2/2024 12:00:00 AM,2908-PO-004,GALPIN MOTOR - 15678,4/2/2024 12:00:00 AM,,
